STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751109,73,57
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751110,75,47
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751111,58,35
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751112,60,31
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751113,50,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751114,36,31
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751115,41,27
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751116,56,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751117,65,41
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751118,67,35
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751119,66,36
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751120,69,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751121,58,36
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751122,37,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751123,41,25
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751124,44,24
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751125,37,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751126,35,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751127,35,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751128,30,22
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751129,38,20
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751130,65,35
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751201,57,21
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751202,32,19
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751203,40,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751204,39,31
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751205,62,33
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751206,62,42
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751207,55,27
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751208,39,26
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751209,40,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751210,34,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751211,35,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751212,49,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751213,53,41
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751214,66,51
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751215,69,50
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751216,50,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751217,31,25
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751218,28,8
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751219,18,7
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751220,36,15
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751221,37,24
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751222,28,13
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751223,33,12
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751224,36,22
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751225,34,21
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751226,36,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751227,32,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751228,31,25
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751229,33,25
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751230,40,32
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19751231,41,34
